ID,location_name,lat,long
2353749,"Koperi,Kopéri,Wizin Kpopéri,WizinKpoperi",10.95288,-2.86037
2353750,"Ouizine,Wizini",10.92904,-2.85087
2353751,"Ouidtenga,Wintenga,Witenga",12.79062,-1.7484
2353752,,10.8,-3.4
2353753,,11.21667,-1.61667
2353754,"Oueria,Ouéria,Wireha,Wiréha",12.92777,-1.08047
2353755,,10.15,-3.35
2353756,,13.05531,-1.25388
2353757,,10.46667,-4.68333
2353758,,14.05097,-0.28065
2353759,,12.63333,-2.76667
2353760,"Moua,Win",10.88333,-3.53333
2353761,,12.05,-0.18333
2353762,,11.8,-1.31667
2353763,,10.28333,-2.95
2353764,,12.43333,-2.11667
2353765,Widi,11.93333,-1.58333
2353767,,12.31667,-3.08333
2353768,,12.3,-3.06667
2353770,,12.28333,-3.56667
2353771,"Ouetigue,Ouétigué,Wetigue,Wétigué",13.32728,-2.28137
2353772,,12.03333,-2.43333
2353773,,13.1074,-1.21832
2353774,,12.15,-2.2
2353775,,13.20626,-1.34631
2353776,,13.0944,-3.6676
2353777,,12.86667,-4.18333
2353778,,11.44506,-3.98317
2353779,,13.16724,-2.53639
2353780,,13.0321,-3.4722
2353781,"Ouere,Ouéré,Were,Wéré",11.83244,-4.82159
2353782,"Oueotenga,Ouéotenga,Weotenga,Wéotenga",12.36667,-0.93333
2353783,,12.11667,-0.11667
2353784,,12.93333,-2.88333
2353785,,14.03761,-0.06308
2353786,,13.51596,0.312
2353787,,12.6,-2.51667
2353788,Wemtinga,11.96667,-1.36667
2353790,,11.56667,-1.08333
2353791,,13.12345,-2.03203
2353792,,12.33333,-0.65
2353793,"Wamsey Tanga,Wemseye Tanga,Wemsèye Tanga",13.69089,-2.65386
2353794,,13.08128,-2.13546
2353795,"Ouembairi,Ouembaïri,Wembairi",13.02822,-2.58294
2353796,,10.0,-3.03333
2353797,,10.33333,-3.28333
2353798,,10.31667,-3.05
2353799,,10.08333,-2.83333
2353800,"Wefnaore,Wefnaoré,Weknaore,Wéknaoré",13.96388,-2.41257
2353801,,11.38333,-3.81667
2353802,"Ode,Odé,Oue,Oué,Wei,Wéï",12.08333,-3.6
2353803,,12.21667,-0.33333
2353804,,13.6792,-2.43628
2353805,,13.30364,-1.70626
2353806,"Wedeidairi,Wendey Dairi,Wendey Daïri,Wédéïdairi",13.61485,-2.90339
2353807,,13.00963,-1.25068
2353808,,12.6,-0.25
2353809,,11.33608,-4.3343
2353810,"Kapol,Oue,Oué,We,Wé",12.60032,0.41266
2353812,,12.66667,-2.25
2353813,"Ouazele,Ouazélé,Wazele,Wazélé",12.81667,-1.48333
